UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Mechanical_Load,Wear_Stress,Wear_Heat
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,3022.5,28764.9
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,3296.5000000000005,29364.500000000004
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,4762.8,30301.6
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,3706.7000000000003,31229.199999999997
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,4076.8,32146.4
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,5374.200000000001,32775.2
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,5827.5,34310.100000000006
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,5130.2,34928.3
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,5842.0,35546.5
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,5744.7,36164.700000000004
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,5820.0,37104.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,5937.5,38637.5
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,6284.8,39564.8
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,3354.0,40170.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,6157.9,41110.3
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,7276.5,41742.0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,6174.0,43288.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,657.8,44201.3
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,7960.5,44819.5
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,6438.599999999999,45423.0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,5335.2,46968.0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,4635.400000000001,47586.0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,6349.200000000001,48219.600000000006
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,6699.2,48837.8
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,6448.0,49456.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,4779.0,50058.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,8976.0,51001.50000000001
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,8784.2,51619.700000000004
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,6455.8,52221.0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,3938.7999999999997,53148.0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,4506.599999999999,53766.0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,6832.2,54710.700000000004
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,8072.900000000001,55328.9
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,5194.7,55910.899999999994
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,8114.400000000001,56837.6
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,6123.599999999999,58382.1
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,12548.7,59019.0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,4361.8,59637.0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,8918.0,60583.600000000006
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,8791.199999999999,61201.8
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,7000.0,61820.00000000001
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,6524.599999999999,62418.0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,9526.800000000001,63015.6
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,9867.4,63633.399999999994
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,8590.4,64251.2
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,75.8,617.8
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,199.6,1235.2
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,427.5,2780.1
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,448.79999999999995,3397.8999999999996
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,521.3000000000001,4017.0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,714.0,4633.5
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,455.6,5253.0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,878.0,6180.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,795.0,7725.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,1220.4,8343.0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,1185.0,9267.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,851.4,10193.699999999999
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,871.5,10811.5
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,1002.7,11429.3
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,1720.0,12360.0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,1339.8,12973.8
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,2296.8,13596.0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,1659.1,14523.0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,1495.0,15444.999999999998
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,1733.1000000000001,16366.400000000001
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,2442.0,16984.0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,1425.0,17607.3
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,1221.3,18219.2
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,2476.6,18836.8
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,2551.5,19454.4
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,2864.4,20374.2
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,2114.8,20991.6
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,3395.0,21609.0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,3369.6,22233.600000000002
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,2452.5,23160.0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,2728.0,24696.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,1845.0,25305.2
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,3654.0,25922.4
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,3515.5,27474.3
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,3854.7999999999997,28391.2
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,2793.0,29317.000000000004
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,4432.900000000001,29934.2
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,3375.9,30561.3
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,3333.0,31168.600000000002
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,2894.3,31785.800000000003
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,4314.200000000001,32701.0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,4827.6,33339.6
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,4532.0,33957.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,5678.400000000001,34585.6
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,4947.599999999999,35191.799999999996
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,3410.3999999999996,35809.2
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,3799.6000000000004,36414.8
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,7260.0,37032.0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,5673.0,37649.200000000004
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,4786.400000000001,38266.4
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,4321.799999999999,38871.0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,5260.8,39475.2
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,3601.0,40092.0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,5702.400000000001,40708.799999999996
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,6696.0,41634.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,7314.0,42559.2
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,3990.0,43190.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,6535.1,44115.5
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,8184.4,45672.8
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,7410.0,46290.0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,8649.0,47833.0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,5667.7,48450.200000000004
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,5596.8,49051.5
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,4540.2,49652.399999999994
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,8282.0,50577.6
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,7165.599999999999,52119.6
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,5779.2,53044.799999999996
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,6281.400000000001,53661.6
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,7177.900000000001,55203.6
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,8688.0,55802.3
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,7341.599999999999,56727.200000000004
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,7942.200000000001,57343.8
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,7068.8,57941.6
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,7831.0,58866.2
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,5238.0,59790.799999999996
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,7095.200000000001,60407.2
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,3920.4,61023.6
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,9338.0,62544.3
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,8961.0,63489.2
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,8440.0,65030.2
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,10058.0,65954.8
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,13111.2,66571.2
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,11401.4,67165.8
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,87.6,616.4
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,218.0,1541.5
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,208.0,2467.2
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,326.0,3082.0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,643.5,4624.5
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,1246.0,6166.0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,1300.2,6782.6
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,840.0,7396.799999999999
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,1371.6,8318.7
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,603.2,8932.0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,1078.4,9856.0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,2040.5,10783.5
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,1609.5,11399.7
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,1353.3000000000002,12015.900000000001
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,877.4,12636.199999999999
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,2158.6,13252.6
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,2241.0,13873.5
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,2345.2999999999997,14490.1
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,1185.8,15106.7
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,2597.4,16642.8
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,2319.9,17567.399999999998
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,1805.4,18183.8
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,2330.2000000000003,18800.2
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,3528.0,19422.9
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,2801.5,20046.0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,2251.2000000000003,20669.5
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,2994.6,21279.6
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,3592.7999999999997,22204.8
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,2560.4,22821.6
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,3936.7999999999997,23438.399999999998
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,2802.6,24980.399999999998
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,920.1999999999999,26531.0
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,3818.1,27456.5
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,4504.5,28082.600000000002
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996,3926.3999999999996,29625.600000000002
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,55580.0,3465.0,30561.3
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3,4757.1,31168.600000000002
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,56315.0,3605.0,31785.800000000003
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001,4326.0,32392.5
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004,3819.9,33009.5
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,56471.0,4169.0,33935.0
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,57104.799999999996,3673.5999999999995,34552.0
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,71232.0,6042.0,35180.4
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,56797.7,4130.099999999999,36117.9
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,86254.7,7223.3,36735.299999999996
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,58389.700000000004,4477.400000000001,37649.200000000004
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,64988.0,5456.0,38266.4
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,54980.3,4548.6,38896.2
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,53392.5,4339.2,39513.6
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,71097.59999999999,6877.0,40131.0
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,62231.4,6061.5,41674.5
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,58951.9,5082.7,42278.200000000004
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,62384.399999999994,5642.0,43204.0
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,57411.7,5438.599999999999,43821.200000000004
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,52582.4,4550.400000000001,44424.0
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,55130.700000000004,5562.6,45055.600000000006
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,66250.8,6837.6,45658.0
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,74623.2,7957.700000000001,46583.5
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,44396.1,3717.9,47200.5
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,58680.0,7110.0,48758.8
